row,col,text
1,1,按照全国\n音游地图\n填报志愿
1,2,高中之前就\n开始打音游
1,3,玩至少一款\n街机音游
1,4,推一首歌\n超过两个\n小时
1,5,写过自认为\n很帅但是\n牺牲手感的\n自制谱
2,1,打开B站\n有音游的\n视频
2,2,为打音游\n花过钱
2,3,在Ultra群里\n发过成绩截图
2,4,会在音乐\n软件上\n听音游曲
2,5,有过连着\n性歌的\n经历
3,1,玩至少一款\n移动端音游
3,2,在群里\n加过好友
3,3,被学长学姐\n拉入Ultra\n群聊
3,4,知道Ultra\n群里的\n某个梗
3,5,被人说过\n手速好快
4,1,在群里问过\n机厅人数 /\n在群里问过\nlink play
4,2,相册里的\n成绩图比\n拍的照片多
4,3,在群里改过\n很抽象的\n昵称
4,4,靠群昵称\n认人
4,5,过去参加过\nUltra群的\n线下活动
5,1,洗澡之后\n实力大增
5,2,为了打歌\n专门练过\n某个配置
5,3,年度歌曲中\n有音游供曲
5,4,听到音游曲\n脑子里先浮现\n的是谱面而不是\n旋律/歌词
5,5,出去旅游的\n时候会先去找\n机厅 / 在酒店里\n玩平板
